Título;Ano;Nota;Sinopse;Diretor;Elenco Principal
Jogos, Trapaças e Dois Canos Fumegantes;1998;8,1;Um jogo de cartas em Londres desencadeia um confronto entre quatro amigos, plantadores de maconha, agiotas e cobradores de dívidas em uma série de eventos curiosos, tudo por algo de maria, dinheiro e duas pistolas antigas.;Guy Ritchie;Jason Flemyng, Dexter Fletcher, Nick Moran
V de Vingança;2005;8,1;Em um futuro da tirania britânica, um lutador clandestino conhecido como V trama um plano para derrubá-la com a ajuda de uma jovem mulher.;James McTeigue;Hugo Weaving, Natalie Portman, Rupert Graves
Rashomon;1950;8,1;A violação de uma noiva e o assassinato de seu marido samurai são lembrados desde a perspectiva de um bandido, da noiva, do fantasma do samurai e de um lenhador.;Akira Kurosawa;Toshirô Mifune, Machiko Kyô, Masayuki Mori
Divertida Mente;2015;8,1;Depois que a jovem Riley é arrancada de sua vida no Centro-Oeste e se muda para São Francisco, suas emoções - Alegria, Medo, Raiva, Nojinho e Tristeza - entram em conflito sobre a melhor forma de navegar em uma nova cidade, casa e escola.;Pete Docter;Amy Poehler, Bill Hader, Lewis Black
Três Anúncios para um Crime;2017;8,1;Uma mãe desafia pessoalmente as autoridades locais para resolver o assassinato de sua filha.;Martin McDonagh;Frances McDormand, Woody Harrelson, Sam Rockwell
Prenda-Me se for Capaz;2002;8,1;Um agente do FBI persegue Frank Abagnale, que antes de seus 19 anos consegue ganhar milhões de dólares fingindo ser um piloto, um médico e um advogado.;Steven Spielberg;Leonardo DiCaprio, Tom Hanks, Christopher Walken
Trainspotting: Sem Limites;1996;8,1;Renton, profundamente imerso no mundo das drogas em Edimburgo, tenta sair do ambiente apesar da má influência dos amigos.;Danny Boyle;Ewan McGregor, Ewen Bremner, Jonny Lee Miller
A Ponte do Rio Kwai;1957;8,1;Depois de resolver suas diferenças com um japonês, o comandante do campo, um coronel britânico, coopera para supervisionar a construção de uma ponte ferroviária.;David Lean;William Holden, Alec Guinness, Jack Hawkins
Touro Indomável;1980;8,1;A vida do boxeador Jake LaMotta, cuja violência e temperamento que o levaram até o topo dos ringues destruíram a sua vida fora deles.;Martin Scorsese;Robert De Niro, Cathy Moriarty, Joe Pesci
Harry Potter e as Relíquias da Morte - Parte 2;2011;8,1;Conforme a batalha entre as forças do bem e do mal no mundo bruxo aumenta de proporções, Harry Potter se aproxima cada vez mais do confronto final com Voldemort.;David Yates;Daniel Radcliffe, Emma Watson, Rupert Grint
Fargo: Uma Comédia de Erros;1996;8,1;O crime de Jerry Lundegaard se desfaz devido à falta de sorte dele e de seus colegas e ao persistente trabalho polícia.;Joel Coen;William H. Macy, Frances McDormand, Steve Buscemi
Robô Selvagem;2024;8,2;Após um naufrágio, um robô inteligente chamado Roz fica preso em uma ilha desabitada. Para sobreviver ao ambiente hostil, Roz se une aos animais da ilha e cuida de um ganso bebê órfão.;Chris Sanders;Lupita Nyong'o, Pedro Pascal, Kit Connor
Guerreiro;2011;8,1;O filho pequeno de um exboxer alcoólatra volta para casa, onde seu pai o treina para um torneio de artes marciais mistas.;Gavin O'Connor;Tom Hardy, Nick Nolte, Joel Edgerton
Sociedade dos Poetas Mortos;1989;8,1;O professor de Inglés John Keating inspira a seus estudantes a ver a poesia duma perspectiva diferente.;Peter Weir;Robin Williams, Robert Sean Leonard, Ethan Hawke
Menina de Ouro;2004;8,1;Uma mulher determinada se prepara para se tornar numa pugilista profissional.;Clint Eastwood;Hilary Swank, Clint Eastwood, Morgan Freeman
Ben-Hur;1959;8,1;Quando um príncipe de Jerusalém é traído e enviado à escravidão por um amigo romano, ele recupera sua liberdade e retorna para se vingar.;William Wyler;Charlton Heston, Jack Hawkins, Stephen Boyd
Gran Torino;2008;8,1;Walt Kowalski, um ranzinza veterano da guerra da Coreia, tenta dar uma lição em seu vizinho quando este tentar roubar seu bem mais precioso: um Gran Torino de 1972.;Clint Eastwood;Clint Eastwood, Bee Vang, Christopher Carley
Mad Max: Estrada da Fúria;2015;8,1;Em um mundo pós-apocalíptico, uma mulher se rebela contra um governante tirânico em busca de sua terra natal com a ajuda de um grupo de prisioneiras, um adorador psicótico e um nômade chamado Max.;George Miller;Tom Hardy, Charlize Theron, Nicholas Hoult
Barry Lyndon;1975;8,1;Um irlandês conquista o coração de uma viúva rica e assume a posição aristocrática de seu falecido marido na Inglaterra do século XVIII.;Stanley Kubrick;Ryan O'Neal, Marisa Berenson, Patrick Magee
Meu Amigo Totoro;1988;8,1;Quando duas meninas se mudam para o campo para ficar perto de sua mãe doente, elas têm aventuras com os maravilhosos espíritos da floresta que moram nas proximidades.;Hayao Miyazaki;Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto
Filhos do Paraíso;1997;8,2;Depois que uma criança perde o par de sapatos de sua irmã, ele embarca em uma série de aventuras para encontrá-los. Quando não consegue, ele tenta uma nova maneira de procurá-los.;Majid Majidi;Reza Naji, Amir Farrokh Hashemian, Bahare Seddiqi
Até o Último Homem;2016;8,1;O médico amaericano da Segunda Guerra Mundial, Desmond T. Doss, se recusa a matar pessoas e se torna o primeiro homem na história dos Estados Unidos a receber a Medalha de Honra sem atirar um tiro.;Mel Gibson;Andrew Garfield, Sam Worthington, Luke Bracey
O Grande Hotel Budapeste;2014;8,1;As aventuras de Gustave H, um lendário porteiro dum famoso hotel da ficcional República de Zubrowka entre a primeira y a segunda guerra mundial.;Wes Anderson;Ralph Fiennes, F. Murray Abraham, Mathieu Amalric
12 Anos de Escravidão;2013;8,1;Solomon Northup, um homem preto livre de Nova Iorque, é raptado e vendido como escravo.;Steve McQueen;Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender
Antes do Amanhecer;1995;8,1;Um jovem e uma mulher se conhecem num trem em Europa é passam uma noite juntos em Viena.;Richard Linklater;Ethan Hawke, Julie Delpy, Andrea Eckert
Blade Runner: O Caçador de Andróides;1982;8,1;Um blade runner deve perseguir e eliminar quatro replicantes que roubaram uma nave no espaço e retornaram à Terra para encontrar seu criador.;Ridley Scott;Harrison Ford, Rutger Hauer, Sean Young
Homem-Aranha: Sem Volta para Casa;2021;8,2;Com a identidade de Homem-Aranha revelada, Peter Parker pede ajuda ao Doutor Estranho. Quando um feitiço dá errado, inimigos de outros mundos começam a aparecer, forçando Peter a descobrir o que realmente significa ser o Homem-Aranha.;Jon Watts;Tom Holland, Zendaya, Benedict Cumberbatch
Memórias de um Assassino;2003;8,1;Em uma pequena província coreana em 1986, três detetives estão procurando o culpado de uma série de estupros e assassinatos de mulheres jovens.;Bong Joon Ho;Song Kang-ho, Kim Sang-kyung, Kim Roe-ha
Ratatouille;2007;8,1;Um rato que pode cozinhar forja uma aliança incomum com um jovem garoto em um famoso restaurante em Paris.;Brad Bird;Brad Garrett, Lou Romano, Patton Oswalt
Garota Exemplar;2014;8,1;Desde que o desaparecimento de sua esposa se tornou o foco de um intenso circo da mídia, um homem vê como esta se concentra nele quando suspeitam que pode não ser inocente.;David Fincher;Ben Affleck, Rosamund Pike, Neil Patrick Harris
Como Treinar o Seu Dragão;2010;8,1;Um jovem e desafortunado viking que aspira a caçar dragões se torna o improvável amigo de um jovem dragão, e descobre que pode haver mais nas criaturas do que ele supunha.;Dean DeBlois;Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse
Monstros S.A.;2001;8,1;Para poder dar electricidade a sua cidade, os monstros tem que assustar a crianças. Pensando que as crianças são perigosas para eles, dois monstros acham que as coisas podem ser diferentes.;Pete Docter;Billy Crystal, John Goodman, Mary Gibbs
Tubarão;1975;8,1;Quando um tubarão desencadea caos numa praia, um xerife, um biologista e um marinheiro daram caça ao animal.;Steven Spielberg;Roy Scheider, Robert Shaw, Richard Dreyfuss
Em Nome do Pai;1993;8,1;Em 1974, uma explosão a bomba acontece em Guilford, próximo de Londres. Gerry Conlon e amigos são acusados pelo crime e presos. Giuseppe Conlon, pai de Gerry, pede ajuda à advogada Gareth Peirce, que investiga as irregularidades do caso.;Jim Sheridan;Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie
Relatos Selvagens;2014;8,1;Sies historias curtas que exploram o comportamento humano de pessoas desesperadas.;Damián Szifron;Darío Grandinetti, María Marull, Mónica Villa
Em Busca do Ouro;1925;8,1;Um garimpeiro vai ao Klondike em busca de ouro e encontra muito mais que isso.;Charles Chaplin;Charles Chaplin, Mack Swain, Tom Murray
Ford vs. Ferrari;2019;8,1;Um designer de carros e um motorista combatem a interferência corporativa, as leis da física e seus próprios demônios pessoais para construir um carro de corrida revolucionário para a Ford e desafiar a Ferrari nas 24 Horas de Le Mans em 1966.;James Mangold;Matt Damon, Christian Bale, Jon Bernthal
Bancando o Águia;1924;8,1;Um projecionista de cinema deseja ser um detetive e coloca suas magras habilidades em prática quando um rival o incrimina por roubar o relógio de bolso do pai de sua namorada.;Buster Keaton;Buster Keaton, Kathryn McGuire, Joe Keaton
Mary e Max - Uma Amizade Diferente;2009;8,1;Relata a estranha história de uma amizade entre dois amigos por correspondência: Mary, uma garota solitária de oito anos que vive nos subúrbios de Melbourne, e Max, um homem obeso de quarenta e quatro anos que vive em Nova York.;Adam Elliot;Toni Collette, Philip Seymour Hoffman, Eric Bana
O Franco Atirador;1978;8,1;Um retrato detalhado das maneiras pelas quais a Guerra do Vietnã interrompeu a vida dos habitantes de uma pequena cidade industrial na Pensilvânia.;Michael Cimino;Robert De Niro, Christopher Walken, John Cazale
A General;1926;8,1;Uns espiões roubam a amada locomotiva de um engenheiro, ele a persegue sozinho através das linhas inimigas.;Clyde Bruckman;Buster Keaton, Marion Mack, Glen Cavender
O Salário do Medo;1953;8,1;Em uma aldeia da América do Sul, quatro homens são contratados para transportar uma remessa urgente de nitroglicerina, mas sem o equipamento de segurança.;Henri-Georges Clouzot;Yves Montand, Charles Vanel, Peter van Eyck
Demon Slayer: Kimetsu no Yaiba - Castelo Infinito;2025;8,6;O Corpo de Caçadores de Demônios mergulha no Castelo do Infinito para derrotar Muzan.;Haruo Sotozaki;Zach Aguilar, Ryan Bartley, Johnny Yong Bosch
A Mulher Faz o Homem;1939;8,1;Um homem ingênuo é eleito para ocupar uma vaga no Senado dos Estados Unidos. Seus planos colidem rapidamente com a corrupção política, mas ele não desiste.;Frank Capra;James Stewart, Jean Arthur, Claude Rains
Logan;2017;8,1;Em um futuro em que os mutantes estão quase extintos, um velho e cansado Logan leva uma vida tranquila. Mas quando Laura, uma garota mutante perseguida por cientistas, pede ajuda a ele, ele deve colocá-la em segurança.;James Mangold;Hugh Jackman, Patrick Stewart, Dafne Keen
Sindicato de Ladrões;1954;8,1;Um ex-pugilista de Nova Jersey, agora um operário portuário, luta para enfrentar seus chefes sindicais corruptos, incluindo seu irmão mais velho, enquanto começa a se conectar com a irmã de uma das vítimas do sindicato.;Elia Kazan;Marlon Brando, Karl Malden, Lee J. Cobb
Rocky, um Lutador;1976;8,1;Um boxer pouco conhecido tem uma grande oportunidade de enfrentar o campeão dos pesos pesados em uma partida em que ele esperaele espera estar à altura da tarefa e divulgar seu nome.;John G. Avildsen;Sylvester Stallone, Talia Shire, Burt Young
Morangos Silvestres;1957;8,1;Depois de viver uma vida marcada pela frieza, um professor idoso é forçado a confrontar o vazio de sua existência.;Ingmar Bergman;Victor Sjöström, Bibi Andersson, Ingrid Thulin
Era uma Vez em Tóquio;1953;8,1;Um casal de idosos viaja para Tóquio para visitar seus filhos, mas encontram indiferença, ingratidão e uma marcada diferença cultural. Quando os idosos voltam para casa, entramos em uma profunda reflexão sobre a mortalidade e a família.;Yasujirô Ozu;Chishû Ryû, Chieko Higashiyama, Sô Yamamura
O 3º Homem;1949;8,1;O romancista Holly Martins viaja para sombria, Viena pós-guerra, apenas para ele mesmo investigar a misteriosa morte de um velho amigo, Harry Lime;Carol Reed;Orson Welles, Joseph Cotten, Alida Valli
O Mistério da Lixeira;2024;8,4;"Um barbeiro busca vingança depois que sua casa é assaltada, dizendo enigmaticamente à polícia que sua ""lakshmi"" foi levada, deixando-os incertos se é uma pessoa ou um objeto. Sua busca para recuperar a elusiva ""lakshmi"" se desenrola.";Nithilan Saminathan;Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas
Spotlight: Segredos Revelados;2015;8,1;A verdadeira historia de como o jornal Boston Globe revelou o escândalo de abuso sexual infantil dentro da igreja católica da cidade e que agitou a toda igreja católica no mundo.;Tom McCarthy;Mark Ruffalo, Michael Keaton, Rachel McAdams
Piratas do Caribe: A Maldição do Pérola Negra;2003;8,1;"O ferreiro Will Turner se une ao excêntrico pirata ""Capitão"" Jack Sparrow para salvar Elizabeth Swann, a filha do governador e seu amor, dos ex-aliados piratas de Jack, que agora são mortos-vivos.";Gore Verbinski;Johnny Depp, Geoffrey Rush, Orlando Bloom
O Exterminador do Futuro;1984;8,1;Um assassino ciborgue do futuro tenta encontrar e matar Sarah Connor, uma garçonete que está destinada a ser a mãe de um homem que salvará a humanidade da extinção.;James Cameron;Arnold Schwarzenegger, Linda Hamilton, Michael Biehn
O Ódio;1995;8,1;24 horas na vida de três jovens nos subúrbios franceses no dia seguinte a uma rebelião violenta.;Mathieu Kassovitz;Vincent Cassel, Hubert Koundé, Saïd Taghmaoui
O Grande Lebowski;1998;8,1;Jeff The Dude Lebowski, foi confundido por um millonário do mesmo nome e procurará restituçao com a ajuda do seus amigos.;Joel Coen;Jeff Bridges, John Goodman, Julianne Moore
Jai Bhim;2021;8,6;Quando um homem tribal é preso por um caso de suposto roubo, sua esposa recorre a um advogado de direitos humanos para ajudá-lo a fazer justiça.;T.J. Gnanavel;Suriya, Lijo Mol Jose, Manikandan K.
O Sétimo Selo;1957;8,1;Um homem procura respostas sobre a vida, a morte e a existência de Deus enquanto joga xadrez contra a morte durante a Morte Negra.;Ingmar Bergman;Max von Sydow, Gunnar Björnstrand, Bengt Ekerot
O Quarto de Jack;2015;8,1;Um menino é mantido preso em um quarto com sua mãe desde seu nascimento, por isso sua visão do mundo é muito reduzida.;Lenny Abrahamson;Brie Larson, Jacob Tremblay, Sean Bridgers
Hotel Ruanda;2004;8,1;Paul Rusesabagina era o gerente de um hotel que abrigava mais de mil refugiados tutsis durante sua luta contra a milícia hutu em Ruanda.;Terry George;Don Cheadle, Sophie Okonedo, Joaquin Phoenix
Platoon;1986;8,1;Um jovem recruta no Vietnã, se vê preso em uma batalha de vontades entre dois sargentos, um bom e outro mau. Um exame perspicaz da brutalidade da guerra e da dualidade do homem em conflito.;Oliver Stone;Charlie Sheen, Tom Berenger, Willem Dafoe
Os Melhores Anos de Nossas Vidas;1946;8,1;Três veteranos da Segunda Guerra Mundial voltam para casa na cidade pequena da América para descobrir que eles e suas famílias foram mudados irreparavelmente.;William Wyler;Myrna Loy, Dana Andrews, Fredric March
Antes do Pôr do Sol;2004;8,1;Nove anos depois de se conhecer, o Jesse e a Celine se encontram novamente na França.;Richard Linklater;Ethan Hawke, Julie Delpy, Vernon Dobtcheff
A Noviça Rebelde;1965;8,1;Uma mulher deixa um convento austríaco para se tornar a instrutora dos filhos de um oficial da marinha viúvo.;Robert Wise;Julie Andrews, Christopher Plummer, Eleanor Parker
O Exorcista;1973;8,1;Quando uma adolescente é possuída por uma entidade misteriosa, sua mãe busca a ajuda de dois padres católicos para salvar sua vida.;William Friedkin;Ellen Burstyn, Max von Sydow, Linda Blair
Os Incríveis;2004;8,0;Uma familia de heróis encobertos tentando viver uma vida tranquila se vem obrigados a salvar o mundo.;Brad Bird;Craig T. Nelson, Samuel L. Jackson, Holly Hunter
Sempre ao Seu Lado;2009;8,1;Um professor universitário se liga a um cachorro abandonado que ele leva para casa.;Lasse Hallström;Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa
Rush: No Limite da Emoção;2013;8,1;A história da rivalidade impiedosa nos anos 70 entre os rivais de Fórmula 1 James Hunt e Niki Lauda.;Ron Howard;Daniel Brühl, Chris Hemsworth, Olivia Wilde
O Mágico de Oz;1939;8,1;A Dorothy Gale é levada por um tornado até a mágica cidade de Oz e vá numa viagem com novos amigos que la ajudar a voltar para casa.;Direção;Judy Garland, Frank Morgan, Ray Bolger
A Voz do Silêncio;2016;8,2;Um jovem é excluído por seus colegas depois de intimidar uma menina surda ao ponto de mudar de escola. Anos depois, ele parte para o caminho da redenção.;Naoko Yamada;Miyu Irino, Saori Hayami, Aoi Yûki
O Martírio de Joana D'Arc;1928;8,1;Em 1431, Joana D'Arc é julgada sob acusações de heresia. Os advogados da Igreja tentam forçar Jeanne a retractar suas reivindicações de visões sagradas.;Carl Theodor Dreyer;Maria Falconetti, Eugene Silvain, André Berley
Conta Comigo;1986;8,1;Depois da morte de um de seus velhos amigos, um escritor relembra sua viagem com os amigos de infância para encontrar o corpo de um menino desaparecido.;Rob Reiner;Wil Wheaton, River Phoenix, Corey Feldman
O Gigante de Ferro;1999;8,1;Um jovem faz amizade com um robô gigante do espaço, um paranóico agente do governo quer que seja destruído.;Brad Bird;Eli Marienthal, Harry Connick Jr., Jennifer Aniston
Meu Pai e Meu Filho;2005;8,2;A família de um jornalista de esquerda é separada após o golpe militar na Turquia em 1980.;Çagan Irmak;Çetin Tekindor, Fikret Kuskan, Hümeyra
A Criada;2016;8,1;Uma mulher é contratada como criada de uma herdeira japonesa, mas secretamente esta envolvida em um plano para defraudá-la.;Park Chan-wook;Kim Min-hee, Ha Jung-woo, Cho Jin-woong
Rede de Intrigas;1976;8,1;Uma rede de televisão explora os delírios e revelações de um homem perturbado.;Sidney Lumet;Faye Dunaway, William Holden, Peter Finch
A Batalha de Argel;1966;8,1;Nos anos 1950, o medo e a violência aumentam à medida que o povo da Argélia luta pela independência do governo francês.;Gillo Pontecorvo;Brahim Hadjadj, Jean Martin, Yacef Saadi
As Vinhas da Ira;1940;8,1;Uma família pobre no Centro-Oeste é forçada a abandonar suas terras. Eles viajam para a Califórnia, sofrendo os infortúnios dos sem-teto na Grande Depressão.;John Ford;Henry Fonda, Jane Darwell, John Carradine
Demon Slayer: Mugen Train - O Filme;2020;8,2;Tanjiro, Inosuke e Zenitsu são enviados pelo comando do Esquadrão de Exterminadores para uma missão no Trem Infinito, onde devem se encontrar com o Pilar das Chamas, Rengoku, e impedir um oni que está fazendo inúmeras vítimas.;Haruo Sotozaki;Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka
Ser ou Não Ser;1942;8,1;Durante a ocupação nazista da Polônia, uma trupe de atuação se envolve nos esforços de um soldado polonês para rastrear um espião alemão.;Ernst Lubitsch;Carole Lombard, Jack Benny, Robert Stack
Kimetsu no Yaiba: Tsuzumi Yashiki-hen;2021;8,5;Tanjiro aventura-se a sul-sudeste, onde encontra um jovem cobarde chamado Zenitsu Agatsuma. Ele é um companheiro sobrevivente da Seleção Final e o seu pardal pede a Tanjiro que o ajude a manter-se na linha.;Haruo Sotozaki;Natsuki Hanae, Akari Kitô, Hiro Shimono
Gangues de Wasseypur;2012;8,2;Um confronto entre Sultão e Shahid Khan leva à expulsão de Khan de Wasseypur e acende uma rivalidade mortal que se estende por três gerações.;Anurag Kashyap;Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia
Na Natureza Selvagem;2007;8,0;Depois de terminar a universidade, Christopher McCandless deixa pra trás suas posses e vai para o Alasca viver na natureza.;Sean Penn;Emile Hirsch, Vince Vaughn, Catherine Keener
Histórias Cruzadas;2011;8,1;Uma aspirante a escritora durante o movimento dos direitos civis nos anos 60 nos Estados Unidos decide escrever um livro sobre as experiências das criadas negras que trabalhavam para as famílias brancas.;Tate Taylor;Viola Davis, Emma Stone, Octavia Spencer
